,aws_score
399,0.99604505
400,0.98228067
401,0.96858078
402,0.89453077
403,0.63992160
404,0.66160142
405,0.96833729
406,0.66885042
407,0.50845378
408,0.85667955
409,0.73532205
410,0.93261563
411,0.53132081
412,0.79007935
413,0.48034381
414,0.63594937
415,0.85659652
416,0.40817174
417,0.99487346
418,0.96477657
419,0.63144433
420,0.54697364
421,0.73575651
422,0.98136693
423,0.41458287
424,0.91351497
425,0.90023744
426,0.55317801
427,0.89239174
428,0.51393783
429,0.78869891
430,0.58525478
431,0.89031535
432,0.82045537
433,0.72120350
434,0.96966153
435,0.72946816
436,0.56712436
437,0.87286853
438,0.94453912
439,0.85560202
440,0.67911028
441,0.78425645
442,0.81330639
443,0.99628061
444,7.79239271
445,0.65689820
446,0.67137563
447,0.75508725
448,0.96542072
449,0.84291994
450,0.72148251
451,0.78297537
452,5.82290958
453,6.10327924
454,0.99417829
455,0.77047371
456,0.96371775
457,0.75216114
458,0.80553132
459,0.71252155
460,0.89773875
461,0.66553652
462,0.40823540
463,0.42719045
464,0.88451915
465,0.62517040
466,0.99554473
467,0.58301353
468,0.96763658
469,0.90989583
470,0.61176782
471,0.81514269
472,0.87084013
473,0.96614134
474,0.64073032
475,0.71809339
476,0.96162885
477,0.62887263
478,0.82421356
479,0.96245270
480,0.85801875
481,0.86049270
482,1.49729867
483,0.92119359
484,0.51426148
485,0.82061988
486,0.88627994
487,0.96741306
488,0.79044950
489,0.96940326
490,0.99265396
491,0.96187365
492,0.99183344
493,6.31085495
494,0.94599974
495,0.96407097
496,0.98570132
497,0.96726328
498,0.66118645
499,0.97901797
500,0.99510151
501,0.98461824
502,0.95930552
503,0.96065205
504,0.97648859
505,0.99617427
506,8.85640765
507,0.56786072
508,0.86420416
509,0.99138695
510,0.62160962
511,0.95819270
512,0.89003551
513,2.20937054
514,0.98762905
515,9.36019932
516,1.45632930
517,0.80709648
518,8.66240152
519,0.78004539
520,0.80575227
521,0.83944833
522,0.78124105
523,0.77700608
524,9.25479544
525,0.95808905
526,0.62193781
527,6.14832697
528,0.82695233
529,1.10719574
530,0.67265862
531,0.66798645
532,0.89161336
533,0.99574762
534,7.09047089
535,5.51826415
536,0.89758837
537,0.78548336
538,0.61195683
539,0.92034411
540,0.79568469
541,0.95342510
542,0.91746097
543,0.97335577
544,0.53764021
545,0.43608441
546,0.96660101
547,0.54159003
548,0.85997956
549,0.86327135
550,0.64983218
551,0.53175967
552,2.34200197
553,0.89439970
554,0.76899683
555,0.65141135
556,0.85436224
557,0.96806585
558,0.98174405
559,0.82838791
560,0.56413406
561,0.74243175
562,0.52847790
563,0.86412602
564,0.66380780
565,0.80789589
566,0.60257202
567,0.96554368
568,0.58981323
569,0.80638355
570,0.88790333
571,0.34912145
572,0.80287826
573,0.41998624
574,0.83811974
575,0.77449727
576,0.67440521
577,0.78365606
578,0.85889738
579,0.81756305
580,0.83768266
581,0.82403695
582,0.95576632
583,0.93635964
584,0.71091765
585,0.57277005
586,0.93464624
587,0.83939272
588,0.39432319
589,0.53683215
590,0.54234611
591,0.94395083
592,0.78966355
593,0.88707512
594,0.54917228
595,0.83813261
596,0.69615340
597,0.87974309
598,0.91592466
599,0.75629949
600,0.81233513
601,0.77560061
602,0.99835461
603,0.77389925
604,0.71665537
605,0.69778901
606,0.71942532
607,0.79433083
608,0.33862990
609,0.31761142
610,0.81600046
611,0.91563254
612,0.51977252
613,0.65341866
614,0.88767725
615,0.72594749
616,0.84604054
617,0.52895283
618,0.64508599
619,0.77888530
620,0.90400958
621,0.97407960
